Date,BTC_usd,BTC_Volume
2016-10-04,612.052002,49801600
2016-10-05,610.218018,68077504
2016-10-06,612.469971,56812100
2016-10-07,612.607971,64071400
2016-10-08,617.341003,42345900
2016-10-09,619.171997,39243400
2016-10-10,616.822021,67481104
2016-10-11,619.237976,103590000
2016-10-12,640.870972,92370200
2016-10-13,636.030029,61620700
2016-10-14,637.007996,58144600
2016-10-15,640.310974,39035400
2016-10-16,639.083008,40298100
2016-10-17,641.817993,58063600
2016-10-18,639.411011,65546700
2016-10-19,638.133972,69381696
2016-10-20,630.663025,56957300
2016-10-21,630.825012,55951000
2016-10-22,633.135986,78556496
2016-10-23,657.620972,54474600
2016-10-24,657.161011,62218200
2016-10-25,654.002014,90378800
2016-10-26,657.677979,88877104
2016-10-27,678.213989,96105296
2016-10-28,688,81145504
2016-10-29,690.289001,134760992
2016-10-30,714.117981,100665000
2016-10-31,702.640015,97064400
2016-11-01,701.336975,130527000
2016-11-02,730.065979,84865200
2016-11-03,742.346008,172808000
2016-11-04,689.124023,99907696
2016-11-05,703.525024,53752300
2016-11-06,703.812012,59902200
2016-11-07,710.736023,65047100
2016-11-08,703.088989,79660800
2016-11-09,709.825012,132429000
2016-11-10,722.843994,68807800
2016-11-11,715.554993,63119700
2016-11-12,716.752014,64622500
2016-11-13,705.195984,80318096
2016-11-14,701.997009,62993000
2016-11-15,705.794006,72038496
2016-11-16,711.166992,141294000
2016-11-17,744.875977,108579000
2016-11-18,740.705017,87363104
2016-11-19,751.833008,110608000
2016-11-20,751.879028,154116000
2016-11-21,731.265015,60802400
2016-11-22,739.643005,129906000
2016-11-23,751.741028,76543800
2016-11-24,744.619995,85919296
2016-11-25,740.442017,67807600
2016-11-26,741.510986,54962700
2016-11-27,735.437012,52601800
2016-11-28,732.484009,61888600
2016-11-29,736.328979,68511104
2016-11-30,736.283997,84070800
2016-12-01,746.046021,80461904
2016-12-02,757.544983,127605000
2016-12-03,778.247986,69547296
2016-12-04,771.638,60557900
2016-12-05,773.393982,106363000
2016-12-06,758.719971,116218000
2016-12-07,764.210999,96426096
2016-12-08,768.075989,80111904
2016-12-09,769.94397,68705296
2016-12-10,773.02301,53843100
2016-12-11,774.752014,57313400
2016-12-12,770.039978,76571000
2016-12-13,780.646973,81645600
2016-12-14,780.005005,75979000
2016-12-15,780.070007,81580096
2016-12-16,778.963013,83608200
2016-12-17,785.166016,78989800
2016-12-18,791.007996,60524400
2016-12-19,790.692017,74886400
2016-12-20,792.247009,99629296
2016-12-21,800.643982,155576000
2016-12-22,834.179993,200027008
2016-12-23,864.888,275564000
2016-12-24,922.179993,137727008
2016-12-25,899.651978,143664992
2016-12-26,896.905029,123771000
2016-12-27,908.354004,167308000
2016-12-28,934.830994,236630000
2016-12-29,975.125,199320000
2016-12-30,972.534973,187474000
2016-12-31,960.627014,99135104
2017-01-01,963.65802,147775008
2017-01-02,998.617004,222184992
2017-01-03,1021.599976,185168000
2017-01-04,1044.400024,344945984
2017-01-05,1156.72998,510199008
2017-01-06,1014.23999,351876000
2017-01-07,903.487,279550016
2017-01-08,908.174988,158715008
2017-01-09,913.244019,141876992
2017-01-10,902.440002,115808000
2017-01-11,908.11499,310928992
2017-01-12,775.177979,222326000
2017-01-13,803.737,168968000
2017-01-14,825.142029,93063296
2017-01-15,818.142029,71013600
2017-01-16,821.78302,82755200
2017-01-17,830.945984,155095008
2017-01-18,909.372986,225676992
2017-01-19,888.335022,105625000
2017-01-20,898.171997,86728400
2017-01-21,895.549011,111158000
2017-01-22,922.205017,116573000
2017-01-23,925.499023,73588600
2017-01-24,910.677002,111349000
2017-01-25,891.924011,120831000
2017-01-26,902.39502,131958000
2017-01-27,918.359009,125594000
2017-01-28,919.810974,68979600
2017-01-29,922.067017,60851700
2017-01-30,920.151001,78227296
2017-01-31,920.958984,164582000
2017-02-01,970.940979,150110000
2017-02-02,990.000977,145820992
2017-02-03,1011.460022,201278000
2017-02-04,1031.329956,155064000
2017-02-05,1043.52002,114208000
2017-02-06,1028.400024,111762000
2017-02-07,1040.140015,146007008
2017-02-08,1062.319946,201855008
2017-02-09,1064.699951,407220000
2017-02-10,995.632019,190452000
2017-02-11,988.89801,102261000
2017-02-12,1003.52002,67530000
2017-02-13,998.88501,100607000
2017-02-14,991.734985,137946000
2017-02-15,1006.210022,89759400
2017-02-16,1007.650024,122277000
2017-02-17,1026.119995,136474000
2017-02-18,1049.209961,99073504
2017-02-19,1054.76001,77423296
2017-02-20,1048.689941,109478000
2017-02-21,1079.280029,186868992
2017-02-22,1114.800049,136100000
2017-02-23,1117.27002,189454000
2017-02-24,1172.709961,330759008
2017-02-25,1170.410034,139960992
2017-02-26,1144.27002,116486000
2017-02-27,1163.780029,131570000
2017-02-28,1180.719971,184956000
2017-03-01,1180.040039,229056992
2017-03-02,1224.680054,368275008
2017-03-03,1250.709961,315739008
2017-03-04,1277.430054,183270000
2017-03-05,1254.290039,134127000
2017-03-06,1267.469971,153656992
2017-03-07,1273.209961,291256000
2017-03-08,1223.22998,332603008
2017-03-09,1150.349976,212283008
2017-03-10,1189.359985,563795968
2017-03-11,1116.319946,283320000
2017-03-12,1176.619995,227176000
2017-03-13,1221.780029,380276992
2017-03-14,1232.160034,245306000
2017-03-15,1240.160034,297804992
2017-03-16,1251.329956,638568000
2017-03-17,1180.160034,706598976
2017-03-18,1099.689941,621302016
2017-03-19,976.72998,406648000
2017-03-20,1037.23999,286529984
2017-03-21,1055.359985,337391008
2017-03-22,1120.650024,380840992
2017-03-23,1050.050049,248540000
2017-03-24,1038.449951,491038016
2017-03-25,936.539978,435803008
2017-03-26,974.015015,303668000
2017-03-27,972.054993,372535008
2017-03-28,1044.579956,326332000
2017-03-29,1046.079956,298457984
2017-03-30,1042.209961,352968992
2017-03-31,1026.640015,447287008
2017-04-01,1071.709961,289633984
2017-04-02,1080.609985,514187008
2017-04-03,1102.949951,580444032
2017-04-04,1145.52002,436310016
2017-04-05,1134.140015,414784000
2017-04-06,1125.810059,511222016
2017-04-07,1178.939941,317022016
2017-04-08,1172.650024,209312000
2017-04-09,1176.569946,242343008
2017-04-10,1187.300049,215883008
2017-04-11,1187.459961,216182000
2017-04-12,1204.810059,288702016
2017-04-13,1201.02002,351968992
2017-04-14,1170.329956,254827008
2017-04-15,1167.300049,203559008
2017-04-16,1172.609985,183231008
2017-04-17,1183.25,253206000
2017-04-18,1193.77002,270524000
2017-04-19,1212.130005,288060992
2017-04-20,1211.079956,315108000
2017-04-21,1229.420044,272167008
2017-04-22,1222.709961,249320000
2017-04-23,1231.920044,258951008
2017-04-24,1209.630005,235806000
2017-04-25,1250.449951,242556000
2017-04-26,1265.98999,329631008
2017-04-27,1281.880005,449196992
2017-04-28,1317.73999,527488992
2017-04-29,1317.839966,422705984
2017-04-30,1321.869995,413115008
2017-05-01,1348.300049,713624000
2017-05-02,1421.030029,477337984
2017-05-03,1453.780029,583795968
2017-05-04,1490.719971,933548992
2017-05-05,1540.869995,946035968
2017-05-06,1556.810059,582529984
2017-05-07,1579.469971,1080029952
2017-05-08,1596.920044,1340320000
2017-05-09,1723.890015,1167920000
2017-05-10,1756.52002,915723008
2017-05-11,1780.369995,799489984
2017-05-12,1845.76001,740984000
2017-05-13,1723.119995,579635008
