Date,NYSE_usd
2018-10-22,12474.15039
2018-10-23,12234.99023
2018-10-24,12274.37988
2018-10-25,12023.5
2018-10-26,12006.75977
2018-10-29,12084.49023
2018-10-30,11961.59961
2018-10-31,12198.65039
2018-11-01,12208.05957
2018-11-02,12410.73047
2018-11-05,12381.69043
2018-11-06,12413.34961
2018-11-07,12582.57031
2018-11-08,12644.58008
2018-11-09,12566.33008
2018-11-12,12517.73047
2018-11-13,12365.25977
2018-11-14,12398.92969
2018-11-15,12194.69043
2018-11-16,12329.42969
2018-11-19,12388.11035
2018-11-20,12150.2002
2018-11-21,12108.71973
2018-11-23,12034.67969
2018-11-26,12111.2002
2018-11-27,12137.87988
2018-11-28,12225.73047
2018-11-29,12384.98047
2018-11-30,12373
2018-12-03,12609.7002
2018-12-04,12555.01953
2018-12-06,12032.49023
2018-12-07,12156.83008
2018-12-10,11922.71973
2018-12-11,11982.78027
2018-12-12,12008.58984
2018-12-13,11985.78027
2018-12-14,11845.36035
2018-12-17,11712.80957
2018-12-18,11601.00977
2018-12-19,11540.17969
2018-12-20,11342.94043
2018-12-21,11198.88965
2018-12-24,10976.23047
2018-12-26,10801.46973
2018-12-27,11081.87012
2018-12-28,11343.86035
2018-12-31,11338.24023
2019-01-02,11238.76953
2019-01-03,11343.79004
2019-01-04,11323.73047
2019-01-07,11536.04981
2019-01-08,11702.5
2019-01-09,11758.03027
2019-01-10,11731.54981
2019-01-11,11806.75
2019-01-14,11767.53027
2019-01-15,11798.03027
2019-01-16,11884.96973
2019-01-17,11873.82031
2019-01-18,12070.90039
2019-01-22,12075.40039
2019-01-23,12044.54981
2019-01-24,12006.19043
2019-01-25,12106.38965
2019-01-28,12040.66016
2019-01-29,12080.41992
2019-01-30,12130.00977
2019-01-31,12222.99023
2019-02-01,12312.25977
2019-02-04,12315.49023
2019-02-05,12409.04004
2019-02-06,12405.42969
2019-02-07,12345.54981
2019-02-08,12252.87012
2019-02-11,12304.79981
2019-02-12,12366.33984
2019-02-13,12462.91992
2019-02-14,12422.24023
2019-02-15,12503.48047
2019-02-19,12567.67969
2019-02-20,12627.61035
2019-02-21,12644.04981
2019-02-22,12654.38965
2019-02-25,12746.41016
2019-02-26,12685.32031
2019-02-27,12680.91992
2019-02-28,12671.23047
2019-03-01,12698.23047
2019-03-04,12728.95996
2019-03-05,12638.19043
2019-03-06,12622.49023
2019-03-07,12513.51953
2019-03-08,12364.69043
2019-03-11,12429.88965
2019-03-12,12576.75977
2019-03-13,12621.69043
2019-03-14,12668.78027
2019-03-15,12679.08008
2019-03-18,12732.26953
2019-03-19,12826.12012
2019-03-20,12749.61035
2019-03-21,12658.96973
2019-03-22,12709.26953
2019-03-25,12526.49023
2019-03-26,12598.4502
2019-03-27,12635.25
2019-03-28,12601.20996
2019-03-29,12691.76953
2019-04-01,12775.83984
2019-04-02,12840.44043
2019-04-03,12819.05957
2019-04-04,12833.32031
2019-04-05,12889.37012
2019-04-08,12927.73047
2019-04-09,12892.04981
2019-04-10,12867.33984
2019-04-11,12892.62012
2019-04-12,12955.66016
